consumer_index_year,consumer_index_value,office_year,office_index_value,earnings_year,earnings_canada,housing_prices_year,single_family_benchmark,single_family_hpi
2001,97.5,1987,73.4,,,,,
2001,97.5,1987,65.9,,,,,
2001,2.3,1987,61.4,,,,,
2001,98.2,1987,67.1,,,,,
2001,98.2,1987,63.2,,,,,
2001,117.2,1987,74.4,,,,,
2001,115.1,1987,68.7,,,,,
2001,117.1,1987,63.2,,,,,
2001,115.2,1987,67.5,,,,,
2001,0.1,1987,73.5,,,,,
2001,0.2,1987,90.1,,,,,
2001,0.1,1987,63.1,,,,,
2001,0.2,1987,63.7,,,,,
2001,97.8,1987,65.8,,,,,
2001,97.6,1987,60.1,,,,,
2001,2.4,1987,72.3,,,,,
2001,99,1987,65.9,,,,,
2001,98.8,1987,61.3,,,,,
2001,118.2,1987,69.1,,,,,
2001,115.5,1987,65,,,,,
2001,117.9,1987,65.5,,,,,
2001,115.3,1987,70.3,,,,,
2001,0.1,1987,62.5,,,,,
2001,0.2,1987,78.3,,,,,
2001,0,1987,64.6,,,,,
2001,0,1987,71.8,,,,,
2001,97.9,1987,69.4,,,,,
2001,97.8,1987,65.6,,,,,
2001,2.3,1987,72.4,,,,,
2001,99.1,1987,59.4,,,,,
2001,98.8,1987,72.1,,,,,
2001,118.3,1987,70.7,,,,,
2001,115.7,1987,67.2,,,,,
2001,117.9,1987,70.2,,,,,
2001,115.5,1987,69.3,,,,,
2001,0.1,1987,89,,,,,
2001,0.2,1987,64.4,,,,,
2001,0,1987,66.3,,,,,
2001,0,1987,69.5,,,,,
2001,98.3,1987,58.6,,,,,
2001,98,1987,66.3,,,,,
2001,2.3,1987,67.9,,,,,
2001,98.8,1987,66.4,,,,,
2001,98.5,1987,72.2,,,,,
2001,117.9,1987,61.1,,,,,
2001,116.1,1987,66.7,,,,,
2001,117.6,1987,65.3,,,,,
2001,115.8,1987,53.3,,,,,
2001,0.1,1987,72.3,,,,,
2001,0.2,1987,61.8,,,,,
2001,0,1987,78.2,,,,,
2001,0,1987,65.4,,,,,
2001,98.4,1987,58.6,,,,,
2001,98.2,1987,68.3,,,,,
2001,2.3,1987,61.9,,,,,
2001,98.8,1987,75,,,,,
2001,98.6,1987,66.6,,,,,
2001,117.9,1987,55.9,,,,,
2001,116.3,1987,68.2,,,,,
2001,117.7,1987,69.9,,,,,
2001,116,1987,89,,,,,
2001,0.1,1987,64,,,,,
2001,0.2,1987,58,,,,,
2001,0,1987,70.8,,,,,
2001,0,1987,60.3,,,,,
2001,98.6,1987,69.8,,,,,
2001,98.4,1987,63.4,,,,,
2001,2.3,1987,54.1,,,,,
2001,99,1987,68,,,,,
2001,98.8,1987,61.7,,,,,
2001,118.2,1987,68,,,,,
2001,116.4,1987,64.5,,,,,
2001,118,1987,55.6,,,,,
2001,116.1,1987,69.6,,,,,
2001,0.1,1987,64.8,,,,,
2001,0.2,1987,68.1,,,,,
2001,0,1987,65.7,,,,,
2001,0,1987,61.1,,,,,
2001,98.5,1987,67.6,,,,,
2001,98.4,1987,67.2,,,,,
2001,2.1,1987,68.4,,,,,
2001,98.5,1987,67.8,,,,,
2001,98.5,1987,59,,,,,
2001,117.6,1987,69.4,,,,,
2001,116.3,1987,74.6,,,,,
2001,117.6,1987,76.1,,,,,
2001,116.2,1987,63.5,,,,,
2001,0.1,1987,60.1,,,,,
